year,start_date,end_date,start_tqqq_close,actual_end_tqqq_close,rebuilt_end_tqqq,solved_daily_drag,solved_daily_drag_pct,annual_drag_from_daily,annual_drag_from_daily_pct,actual_annual_return_pct,rebuilt_annual_return_pct,annual_drag_ratio,annual_drag_pct,annual_drag_pct_points
2010,2010-02-11,2010-12-31,0.21627600491046906,0.3851040005683899,0.38510400056862903,-4.0917340545960424e-05,-0.004091734054596043,-0.010364299981972636,-1.0364299981972636,78.06136225228033,78.06136225239091,6.209477376728501e-13,6.2094773767285e-11,1.1057821325266559e-10
2011,2011-01-03,2011-12-30,0.4025000035762787,0.35411500930786133,0.35411500930791606,-4.808907921047766e-05,-0.004808907921047766,-0.012191878939461942,-1.2191878939461942,-12.021116481617078,-12.021116481603478,1.545430450278218e-13,1.545430450278218e-11,1.3600232051658168e-11
2012,2012-01-03,2012-12-31,0.3742710053920746,0.5392709970474243,0.5392709970477328,-0.00010545648821883263,-0.010545648821883264,-0.02692986130251418,-2.692986130251418,44.08569974115439,44.085699741236816,5.720979245893432e-13,5.7209792458934317e-11,8.242295734817162e-11
2013,2013-01-02,2013-12-31,0.5895829796791077,1.2928129434585571,1.29281294345793,-9.47457020553289e-05,-0.00947457020553289,-0.02416207034926532,-2.416207034926532,119.27582512001895,119.27582511991264,-4.849454171562684e-13,-4.849454171562684e-11,-1.0631495683810499e-10
2014,2014-01-02,2014-12-31,1.262603998184204,2.030208110809326,2.0302081108112393,-6.306537285904337e-05,-0.006306537285904337,-0.016018921848143464,-1.6018921848143464,60.79531775038263,60.79531775053415,9.423573033018329e-13,9.423573033018329e-11,1.5152323840084136e-10
2015,2015-01-02,2015-12-31,2.0135419368743896,2.3797919750213623,2.3797919750208423,-6.322722854835549e-05,-0.006322722854835549,-0.016060361084126562,-1.6060361084126562,18.189342443768552,18.189342443742728,-2.184918912462308e-13,-2.184918912462308e-11,-2.582378755278114e-11
2016,2016-01-04,2016-12-30,2.234375,2.650624990463257,2.650624990464352,-5.6476584830439325e-05,-0.005647658483043933,-0.01433345024085586,-1.433345024085586,18.629370202551353,18.62937020260036,4.1311398746302075e-13,4.1311398746302075e-11,4.900524430695441e-11
2017,2017-01-03,2017-12-29,2.714792013168335,5.78000020980835,5.780000209814044,1.888888842658174e-05,0.001888888842658174,0.004748733780352787,0.47487337803527874,112.90766223607389,112.90766223628364,9.851008897499014e-13,9.851008897499014e-11,2.0974333381218457e-10
2018,2018-01-02,2018-12-31,6.076666831970215,4.630000114440918,4.630000114439519,0.00012793712916110255,0.012793712916110256,0.03172798028623092,3.1727980286230917,-23.806911873433243,-23.80691187345626,-3.022027073029676e-13,-3.022027073029676e-11,-2.3014923300479495e-11
2019,2019-01-02,2019-12-31,4.696249961853027,10.818750381469727,10.818750381470126,0.00013971327757126488,0.013971327757126489,0.03459753814586708,3.459753814586708,130.36998603883742,130.36998603884592,3.697042672001771e-14,3.697042672001771e-12,8.482103908136196e-12
2020,2020-01-02,2020-12-31,11.354999542236328,22.725000381469727,22.725000381476946,2.778177960367902e-05,0.002778177960367902,0.006976655065375037,0.6976655065375037,100.13211182388227,100.13211182394582,3.176348073452573e-13,3.176348073452573e-11,6.354916592954396e-11
2021,2021-01-04,2021-12-31,21.731250762939453,41.58250045776367,41.58250045778884,5.664180169458603e-06,0.0005664180169458604,0.001426359226499918,0.1426359226499918,91.3488593517986,91.34885935191438,6.052935930256353e-13,6.052935930256353e-11,1.1579626146840383e-10
2022,2022-01-03,2022-12-30,42.782501220703125,8.649999618530273,8.649999618522221,0.000181059707075509,0.0181059707075509,0.0446057316807944,4.46057316807944,-79.78145416532027,-79.7814541653391,-9.308109838457312e-13,-9.308109838457312e-11,-1.8818280267396403e-11
2023,2023-01-03,2023-12-29,8.454999923706055,25.350000381469727,25.350000381486666,0.0004704342607164027,0.04704342607164027,0.11181686780803946,11.181686780803945,199.8225974005466,199.82259740074696,6.682432385218817e-13,6.682432385218817e-11,2.0032864256336325e-10
2024,2024-01-02,2024-12-31,24.065000534057617,39.564998626708984,39.564998626681366,0.0004797883986852044,0.04797883986852044,0.1139090582269695,11.39090582269695,64.40888322738758,64.40888322727281,-6.981082378842984e-13,-6.981082378842984e-11,-1.1477485628574868e-10
2025,2025-01-02,2025-12-31,39.314998626708984,52.720001220703125,52.72000122071299,0.0004104221600276949,0.04104221600276949,0.09827674115987739,9.827674115987739,34.09640865378878,34.09640865381387,1.8707257964933888e-13,1.8707257964933888e-11,2.5091040356528538e-11
